Voyage_ID,Date,Ship_Type,Engine_Type,Maintenance_Status,Turnaround_Time_hours,Efficiency_nm_per_kWh
1,2023-06-04,Container Ship,Heavy Fuel Oil (HFO),Critical,25.86707716423384,1.4551788996396922
2,2023-06-11,Fish Carrier,Steam Turbine,Good,63.24819630913776,0.2903613527548067
3,2023-06-18,Container Ship,Diesel,Fair,49.41815004961628,0.4995945235825497
4,2023-06-25,Bulk Carrier,Steam Turbine,Fair,22.40910958000451,0.7029057082621761
5,2023-07-02,Fish Carrier,Diesel,Fair,64.158231375658,1.3313430927501364
6,2023-07-09,Fish Carrier,Heavy Fuel Oil (HFO),Fair,47.47615464955122,1.3702060086697534
7,2023-07-16,Fish Carrier,Heavy Fuel Oil (HFO),Critical,29.04041966725096,1.1203894034356978
8,2023-07-23,Container Ship,Diesel,Critical,52.478600390420524,0.6959745851638408
9,2023-07-30,,Heavy Fuel Oil (HFO),Good,14.4518197750399,0.9774483265257008
10,2023-08-06,Container Ship,Diesel,Fair,63.74276094580034,0.440676184115645
11,2023-08-13,Fish Carrier,Steam Turbine,Fair,47.66533057260437,0.4378355481762697
12,2023-08-20,Tanker,Diesel,Good,48.185665925099805,1.227064209189107
13,2023-08-27,Container Ship,Steam Turbine,Good,65.53219505310201,0.5751512085062263
14,2023-09-03,Bulk Carrier,Heavy Fuel Oil (HFO),Good,25.196565309015785,1.3537688192309374
15,2023-09-10,Tanker,Diesel,Good,47.47917285181509,1.2890123367104078
16,2023-09-17,Tanker,,Good,68.22836327134073,0.652674105830203
17,2023-09-24,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,38.77708075122482,1.3348229164946168
18,2023-10-01,Tanker,Diesel,Good,54.10294401668294,0.5674501548079114
19,2023-10-08,Fish Carrier,Diesel,Critical,40.86698166452457,0.8366300461834971
20,2023-10-15,Bulk Carrier,Diesel,Good,22.38503706293397,0.4639345823207674
21,2023-10-22,Container Ship,Diesel,Critical,57.59360411618811,1.2623669816440677
22,2023-10-29,Bulk Carrier,Diesel,,35.56856225654937,1.0500735782618975
23,2023-11-05,,Heavy Fuel Oil (HFO),Good,31.406580948827557,0.9300015792504718
24,2023-11-12,Container Ship,Heavy Fuel Oil (HFO),Good,25.686899113562063,0.1772359812087151
25,2023-11-19,,Diesel,Good,20.006237903472982,0.6995533765542917
26,2023-11-26,Container Ship,Heavy Fuel Oil (HFO),Good,22.346126949976664,0.8859487646210831
27,2023-12-03,,Heavy Fuel Oil (HFO),Critical,52.77458116877233,0.2432706066730154
28,2023-12-10,Fish Carrier,Diesel,Fair,37.122409460240334,1.297999284501541
29,2023-12-17,Bulk Carrier,Steam Turbine,Fair,48.21087700656727,0.5424507689667319
30,2023-12-24,Fish Carrier,Diesel,Fair,46.393277138036325,0.9976806180775862
31,2023-12-31,Fish Carrier,Steam Turbine,Good,32.983689365518934,0.7923263460647774
32,2024-01-07,Fish Carrier,Heavy Fuel Oil (HFO),Good,18.50231358940087,0.1558377091970134
33,2024-01-14,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,45.590249058417776,0.5819657307321282
34,2024-01-21,Tanker,Steam Turbine,Good,19.25449986067644,0.1605028377125685
35,2024-01-28,Tanker,Heavy Fuel Oil (HFO),Critical,55.78625993887207,0.8072470483845882
36,2024-02-04,Container Ship,Heavy Fuel Oil (HFO),Fair,65.34143607338488,1.0295765776732455
37,2024-02-11,Container Ship,Steam Turbine,Fair,43.668110885140194,0.5394853971773279
38,2024-02-18,Fish Carrier,Heavy Fuel Oil (HFO),Fair,70.69869142580444,0.2789038803555007
39,2024-02-25,Tanker,Diesel,Fair,39.86225627328852,0.9281846847913122
40,2024-03-03,Fish Carrier,Steam Turbine,Good,22.31643562698468,0.2258597923103556
41,2024-03-10,Container Ship,Heavy Fuel Oil (HFO),Fair,68.57626567581212,0.4809813125812029
42,2024-03-17,Fish Carrier,Diesel,Fair,31.819395902515065,0.9557161015324344
43,2024-03-24,Tanker,Steam Turbine,Critical,66.85377402493359,0.77620756556292
44,2024-03-31,Bulk Carrier,Diesel,Critical,65.65074372983838,0.2399548217110294
45,2024-04-07,Container Ship,Diesel,Good,60.45797688224648,0.8323251379262009
46,2024-04-14,Fish Carrier,Heavy Fuel Oil (HFO),,28.293241641538977,1.2339394043243523
47,2024-04-21,Bulk Carrier,Diesel,Critical,65.42804403418876,1.123999930728779
48,2024-04-28,Bulk Carrier,Steam Turbine,Good,13.700478484751072,1.252541685404458
49,2024-05-05,Tanker,Steam Turbine,Good,71.93544219020802,0.8708181650013952
50,2024-05-12,Bulk Carrier,Steam Turbine,Fair,47.48908068821058,0.4186772061496626
51,2024-05-19,Bulk Carrier,Steam Turbine,Good,37.93627311406619,1.48169347390159
52,2024-05-26,Tanker,,Fair,34.0158250388927,0.5065105906492506
53,2024-06-02,Container Ship,Steam Turbine,Good,35.7396343803628,1.1268207787302496
54,2024-06-09,Tanker,Heavy Fuel Oil (HFO),Fair,53.021884187998886,0.9084490874217046
55,2024-06-16,Fish Carrier,Diesel,Fair,58.032128673865344,0.565860643498876
56,2024-06-23,Bulk Carrier,Diesel,Fair,54.517913385427015,0.1117468613956423
57,2024-06-30,Bulk Carrier,Diesel,Critical,37.33504047215909,1.1564094180073532
58,2023-06-04,Fish Carrier,Steam Turbine,Good,58.59998615401543,0.7059234001184281
59,2023-06-11,Fish Carrier,Diesel,Good,41.18334875448186,0.6029091283438426
60,2023-06-18,Container Ship,Steam Turbine,Critical,12.68627848361711,0.8326669349274286
61,2023-06-25,Fish Carrier,Heavy Fuel Oil (HFO),Fair,34.62721135570855,0.808952920623692
62,2023-07-02,,Steam Turbine,Fair,49.87513781611889,1.243155149988592
63,2023-07-09,Fish Carrier,Heavy Fuel Oil (HFO),Fair,13.107210333635129,0.5967809605265433
