Voyage_ID,Date,Ship_Type,Route_Type,Maintenance_Status,Anomaly_Type,Speed_Over_Ground_knots,Efficiency_nm_per_kWh,Operational_Cost_USD,Revenue_per_Voyage_USD,Excess_Cost_USD,Lost_Revenue_USD
1,2023-06-04,Container Ship,Unknown,Critical,"Low Efficiency, High Cost",12.6,1.46,483832.35,292183.27,229766.99,223498.71
2,2023-06-11,Fish Carrier,Short-haul,Good,"High Cost, Speed Deviation",10.39,0.29,483388.0,883765.79,229322.63,0.0
12,2023-08-20,Tanker,Transoceanic,Good,High Cost,18.25,1.23,481866.26,738063.17,227800.89,0.0
13,2023-08-27,Container Ship,Short-haul,Good,"High Cost, Speed Deviation",10.23,0.58,481846.66,738287.28,227781.29,0.0
23,2023-11-05,Unknown,Coastal,Good,High Cost,18.75,0.93,14878.15,902159.37,-239187.21,0.0
24,2023-11-12,Container Ship,Coastal,Good,"Low Efficiency, High Cost",15.23,0.18,471255.43,880435.93,217190.06,0.0
30,2023-12-24,Fish Carrier,Transoceanic,Fair,Speed Deviation,11.02,1.0,221816.83,990098.8,-32248.53,0.0
31,2023-12-31,Fish Carrier,Long-haul,Good,High Cost,15.96,0.79,470099.75,744680.6,216034.38,0.0
32,2024-01-07,Fish Carrier,Long-haul,Good,Low Efficiency,21.43,0.16,280960.71,996686.22,26895.34,0.0
34,2024-01-21,Tanker,Transoceanic,Good,Low Efficiency,14.49,0.16,297388.48,929996.61,43323.11,0.0
35,2024-01-28,Tanker,Short-haul,Critical,High Cost,23.29,0.81,33681.76,896032.71,-220383.61,0.0
36,2024-02-04,Container Ship,Coastal,Fair,Speed Deviation,10.2,1.03,308742.11,311763.56,54676.74,203918.43
40,2024-03-03,Fish Carrier,Short-haul,Good,Speed Deviation,24.27,0.23,282347.8,432936.01,28282.43,82745.98
45,2024-04-07,Container Ship,Transoceanic,Good,High Cost,16.01,0.83,492122.24,884546.05,238056.87,0.0
51,2024-05-19,Bulk Carrier,Long-haul,Good,Low Efficiency,22.81,1.48,390326.5,886689.17,136261.13,0.0
52,2024-05-26,Tanker,Transoceanic,Fair,Speed Deviation,24.14,0.51,131593.85,999805.85,-122471.51,0.0
56,2024-06-23,Bulk Carrier,Short-haul,Fair,"Low Efficiency, High Cost",23.09,0.11,477292.64,664940.15,223227.28,0.0
60,2023-06-18,Container Ship,Transoceanic,Critical,High Cost,16.21,0.83,42536.21,901048.71,-211529.16,0.0
66,2023-07-30,Fish Carrier,Long-haul,Good,Speed Deviation,24.11,0.95,227391.74,418596.24,-26673.62,97085.74
68,2023-08-13,Container Ship,Short-haul,Good,Speed Deviation,10.33,1.18,362368.26,378330.21,108302.89,137351.77
71,2023-09-03,Bulk Carrier,Short-haul,Fair,Speed Deviation,24.61,0.7,279592.02,349190.14,25526.65,166491.84
73,2023-09-17,Tanker,Short-haul,Critical,Speed Deviation,10.86,0.31,224166.48,568594.29,-29898.88,0.0
75,2023-10-01,Bulk Carrier,Transoceanic,Critical,Low Efficiency,22.95,0.19,93327.18,652250.19,-160738.19,0.0
76,2023-10-08,Container Ship,Long-haul,Fair,Speed Deviation,24.07,0.24,173623.45,774411.26,-80441.92,0.0
78,2023-10-22,Tanker,Long-haul,Critical,Low Efficiency,21.46,0.1,255586.39,58692.72,1521.02,456989.26
83,2023-11-26,Tanker,Coastal,Critical,Speed Deviation,24.76,1.13,112084.17,478315.99,-141981.2,37365.99
85,2023-12-10,Bulk Carrier,Coastal,Critical,High Cost,22.36,0.23,479544.38,386796.78,225479.02,128885.2
86,2023-12-17,Tanker,Short-haul,Fair,Speed Deviation,10.92,0.67,297949.64,78856.65,43884.27,436825.34
92,2024-01-28,Fish Carrier,Long-haul,Critical,High Cost,22.53,1.31,488014.68,947163.63,233949.32,0.0
99,2024-03-17,Container Ship,Short-haul,Fair,Speed Deviation,24.38,1.07,80992.02,940714.96,-173073.35,0.0
100,2024-03-24,Container Ship,Coastal,Critical,Low Efficiency,22.06,0.11,47178.5,854895.25,-206886.86,0.0
102,2024-04-07,Tanker,Long-haul,Critical,Low Efficiency,18.08,0.11,157178.51,264282.76,-96886.86,251399.22
111,2024-06-09,Tanker,Short-haul,Fair,Low Efficiency,11.21,0.18,171501.06,530056.53,-82564.31,0.0
112,2024-06-16,Fish Carrier,Long-haul,Fair,High Cost,21.61,1.29,12427.64,455885.9,-241637.73,59796.08
